id;titel;beschreibung;punkte;number completed;Counts;symbol
bandprobe;Die Band!;Organisiere eine Roundback-Reunion-Probe. Dabei müssen 4 Mitglieder der Band anwesend sein und ein Gastmusiker muss bei mindestens einem Lied mitspielen. Ein Lied von Mumford & Sons muss gespielt werden.;150;0;1;🎸
bandprobe-motivator;Die Band! (+);Du kannst zusätzliches Karma bekommen, wenn du deine Fähigkeiten als Motivator unter Beweis stellst. Wenn mehr als die Hälfte übt, bekommst du etwas mehr Karma gutgeschrieben.;100;0;1;🎸
lieblingsessen;Fine-Dining;Koche für A.K. ein 3-Gänge-Menü, auf Wunsch auch mit Weinbegleitung. Das Handy bleibt während des gesamten Essens allerdings aus.;100;0;1;🍽
verwoehnung;Verwöhne;Mache Benni vor mindestens 3 unabhängigen Zeugen 5 ernst gemeinte Komplimente. Fasse ihn dabei an beiden Händen und schaue ihm tief in die Augen.;100;0;1;🤝
konzert;Konzertreihe;Gehe mit 5 verschiedenen Personen in 5 verschiedenen Städten auf 5 verschiedene Konzerte.;150;0;5;🎤
jack-elwood;Jack & Elwood;Organisiere einen Filmabend, bei dem ihr den Film „Blues Brothers“ schaut. Eine Person davon darf den Film allerdings noch nie gesehen haben. Niemand darf einschlafen und der Filmabend darf nicht vor 20 Uhr anfangen!;100;0;1;🕶
bibelkenner;Bibelkenner (1/2);Zitiere bei einem Besuch bei deinen Schwiegereltern dreimal aus der Bibel. Die Zitate zählen nur, wenn A.K. dabei nicht lachen muss.;50;0;3;📖
bibelkenner2;Bibelkenner (2/2);Zitiere bei einem Besuch bei deiner Schwiegeroma dreimal aus der Bibel. Die Zitate zählen nur, wenn A.K. dabei nicht lachen muss.;100;0;3;📖
bmw;Konkurrenzkampf!;Mache unter Zeugen gegenüber Hannes mindestens 3 positive Bemerkungen zu BMW-Innovationen aus den letzten 5 Jahren. Dabei muss mindestens einmal der Satz „Da haben sie gegenüber Toyota schon die Nase vorn.“ fallen.;100;0;3;🚗
nd;9dorf-Dynamics (1/2);Liefere mindestens ein fertiges Produkt aus (ausgenommen den Corolla, versteht sich). Das Produkt muss bei einer Produktpräsentation im Stil von Steve Jobs mindestens 3 Personen vorgestellt werden.;100;0;1;🛠️
oppenheimer;Oppenheimer (2/2);Handelt es sich bei dem gelieferten Produkt um eine funktionierende Kartoffelkanone? Das gibt Extrapunkte, sofern sich bei der Vorführung niemand verletzt!;50;0;1;🛠️
forrest-gump;Lauf, Forrest, lauf!;Gehe mit A.K. mindestens 15 km und 300 Höhenmeter wandern. Dabei darf weder davor noch währenddessen noch danach eine einzige Beschwerde fallen.;100;0;1;🥾
